Kayttajanimi,Aikaleima,Kysymys,Arvo
1500,1.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,3
7469,3.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,2
7968,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
9253,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
21084,1.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
34725,2.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
123098,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,2
145789,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,5
222426,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,5
290520,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
369369,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,2
2905202010,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
029,1.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
0704,,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,
0907,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,5
1500,1.6.2020,Herasin aamulla virkeana,2
7469,3.6.2020,Herasin aamulla virkeana,2
7968,29.5.2020,Herasin aamulla virkeana,4
9253,29.5.2020,Herasin aamulla virkeana,5
21084,1.6.2020,Herasin aamulla virkeana,2
34725,2.6.2020,Herasin aamulla virkeana,4
123098,29.5.2020,Herasin aamulla virkeana,3
145789,29.5.2020,Herasin aamulla virkeana,2
222426,29.5.2020,Herasin aamulla virkeana,4
290520,29.5.2020,Herasin aamulla virkeana,2
369369,29.5.2020,Herasin aamulla virkeana,4
2905202010,29.5.2020,Herasin aamulla virkeana,3
029,1.6.2020,Herasin aamulla virkeana,3
0704,,Herasin aamulla virkeana,
0907,29.5.2020,Herasin aamulla virkeana,4
1500,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,1
7469,3.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,4
7968,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,5
9253,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,4
21084,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,1
34725,2.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,5
123098,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,3
145789,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,5
222426,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,4
290520,2.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,4
369369,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,3
2905202010,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,2
029,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,2
0704,,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,
0907,2.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,2
1500,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,4
7469,3.6.2020,Liikuin eilen tavoitteiden mukaisesti,2
7968,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,4
9253,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,5
21084,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,1
34725,2.6.2020,Liikuin eilen tavoitteiden mukaisesti,5
123098,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,5
145789,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,2
222426,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,1
290520,2.6.2020,Liikuin eilen tavoitteiden mukaisesti,2
369369,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,1
2905202010,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,4
029,1.6.2020,Liikuin eilen tavoitteiden mukaisesti,3
0704,,Liikuin eilen tavoitteiden mukaisesti,
0907,2.6.2020,Liikuin eilen tavoitteiden mukaisesti,4
1500,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,3
7469,3.6.2020,Naen lahes paivittain ihmisia kasvokkain,4
7968,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,5
9253,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,3
21084,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,5
34725,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,5
123098,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,5
145789,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,5
222426,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,5
290520,3.6.2020,Naen lahes paivittain ihmisia kasvokkain,2
369369,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,3
2905202010,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,2
029,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,2
0704,,Naen lahes paivittain ihmisia kasvokkain,
0907,2.6.2020,Naen lahes paivittain ihmisia kasvokkain,2
1500,2.6.2020,Ruoka tuo minulle mielihyvaa,4
7469,3.6.2020,Ruoka tuo minulle mielihyvaa,4
7968,2.6.2020,Ruoka tuo minulle mielihyvaa,4
9253,2.6.2020,Ruoka tuo minulle mielihyvaa,5
21084,2.6.2020,Ruoka tuo minulle mielihyvaa,5
34725,2.6.2020,Ruoka tuo minulle mielihyvaa,4
123098,2.6.2020,Ruoka tuo minulle mielihyvaa,5
145789,2.6.2020,Ruoka tuo minulle mielihyvaa,4
222426,2.6.2020,Ruoka tuo minulle mielihyvaa,2
290520,3.6.2020,Ruoka tuo minulle mielihyvaa,4
369369,2.6.2020,Ruoka tuo minulle mielihyvaa,5
2905202010,2.6.2020,Ruoka tuo minulle mielihyvaa,5
029,2.6.2020,Ruoka tuo minulle mielihyvaa,4
0704,,Ruoka tuo minulle mielihyvaa,
0907,2.6.2020,Ruoka tuo minulle mielihyvaa,4
1500,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,4
7469,,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,
7968,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,5
9253,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,4
21084,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,4
34725,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,5
123098,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,5
145789,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,4
222426,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,5
290520,,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,
369369,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,4
2905202010,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,4
029,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,3
0704,,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,
0907,3.6.2020,Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita,3
1500,3.6.2020,Soin tanaan kunnon aamupalan,4
7469,,Soin tanaan kunnon aamupalan,
7968,3.6.2020,Soin tanaan kunnon aamupalan,5
9253,3.6.2020,Soin tanaan kunnon aamupalan,5
21084,3.6.2020,Soin tanaan kunnon aamupalan,3
34725,3.6.2020,Soin tanaan kunnon aamupalan,5
123098,3.6.2020,Soin tanaan kunnon aamupalan,4
145789,3.6.2020,Soin tanaan kunnon aamupalan,4
222426,3.6.2020,Soin tanaan kunnon aamupalan,5
290520,,Soin tanaan kunnon aamupalan,
369369,3.6.2020,Soin tanaan kunnon aamupalan,4
2905202010,3.6.2020,Soin tanaan kunnon aamupalan,4
029,3.6.2020,Soin tanaan kunnon aamupalan,4
0704,,Soin tanaan kunnon aamupalan,
0907,3.6.2020,Soin tanaan kunnon aamupalan,1
1500,4.6.2020,Nukun riittavasti oisin,3
7469,,Nukun riittavasti oisin,
7968,4.6.2020,Nukun riittavasti oisin,5
9253,4.6.2020,Nukun riittavasti oisin,5
21084,4.6.2020,Nukun riittavasti oisin,2
34725,8.6.2020,Nukun riittavasti oisin,4
123098,4.6.2020,Nukun riittavasti oisin,3
145789,4.6.2020,Nukun riittavasti oisin,3
222426,4.6.2020,Nukun riittavasti oisin,2
290520,6.6.2020,Nukun riittavasti oisin,4
369369,4.6.2020,Nukun riittavasti oisin,3
2905202010,4.6.2020,Nukun riittavasti oisin,3
029,4.6.2020,Nukun riittavasti oisin,2
0704,6.6.2020,Nukun riittavasti oisin,2
0907,4.6.2020,Nukun riittavasti oisin,1
1500,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,3
7469,,Kavin eilen ulkoilemassa ja liikuin riittavasti,
7968,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,5
9253,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,5
21084,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,3
34725,8.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,5
123098,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,4
145789,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,5
222426,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,2
290520,6.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,4
369369,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,4
2905202010,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,4
029,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,3
0704,6.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,2
0907,4.6.2020,Kavin eilen ulkoilemassa ja liikuin riittavasti,1
1500,5.6.2020,Pidan itsestani        ,2
7469,,Pidan itsestani        ,
7968,5.6.2020,Pidan itsestani        ,4
9253,5.6.2020,Pidan itsestani        ,3
21084,5.6.2020,Pidan itsestani        ,4
34725,8.6.2020,Pidan itsestani        ,4
123098,5.6.2020,Pidan itsestani        ,4
145789,5.6.2020,Pidan itsestani        ,4
222426,6.6.2020,Pidan itsestani        ,3
290520,6.6.2020,Pidan itsestani        ,4
369369,6.6.2020,Pidan itsestani        ,3
2905202010,5.6.2020,Pidan itsestani        ,2
029,5.6.2020,Pidan itsestani        ,5
0704,,Pidan itsestani        ,
0907,5.6.2020,Pidan itsestani        ,1
1500,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,1
7469,,Menin eilen nukkumaan sopivaan aikaan,
7968,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,5
9253,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,4
21084,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,3
34725,8.6.2020,Menin eilen nukkumaan sopivaan aikaan,2
123098,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,4
145789,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,4
222426,6.6.2020,Menin eilen nukkumaan sopivaan aikaan,4
290520,6.6.2020,Menin eilen nukkumaan sopivaan aikaan,4
369369,6.6.2020,Menin eilen nukkumaan sopivaan aikaan,3
2905202010,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,4
029,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,1
0704,,Menin eilen nukkumaan sopivaan aikaan,
0907,5.6.2020,Menin eilen nukkumaan sopivaan aikaan,2